Saison,Parcelle,Espèce,Age,Pénalité,Dates plantation,Plants,Plants Productifs,Taux de Productivité (%),Poids produit (g),Nombre de truffe,Poids moyen (g),Production au plant (g),Plants Non-Productifs à Nouveau,Expected_Production,State_Space_Forecast,Total_Expected_Production,Total_State_Space_Forecast
2025 - 2026,H,Chêne pédonculé,2,-1: planted outside December -> March,10/10/2021,2,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,0.07793263027485112,0.007793263027485112
2025 - 2026,H,Chêne pédonculé,4,-1: planted outside December -> March,22/11/2019,11,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,30.21929865743682,3.021929865743682
2025 - 2026,H,Chêne pédonculé,5,-1: planted outside December -> March,17/04/2018,477,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,4140.1403939453785,414.0140393945379
2025 - 2026,I,Charme commun,5,-1: planted outside November -> March,27/04/2018,596,7,1.17,475,7,67,0,0,8.679539609948383,6.0,5173.005607529237,3576.0
2025 - 2026,I,Chêne chevelu,3,,10/10/2021,12,0,0.0,0,0,0,0,0,0.496401939767995,0.3145570838336446,5.95682327721594,3.774685006003735
2025 - 2026,I,Chêne chevelu,5,-1: planted outside October -> March,27/04/2018,474,19,4.01,1762,31,56,3,0,8.679539609948383,5.5,4114.101775115534,2607.0
2025 - 2026,I,Chêne chevelu,5,,22/11/2019,24,0,0.0,0,0,0,0,0,8.679539609948383,5.5,208.3089506387612,132.0
2025 - 2026,I,Chêne pubescent,3,,10/10/2021,5,0,0.0,0,0,0,0,0,0.496401939767995,0.4289414779549699,2.482009698839975,2.1447073897748496
2025 - 2026,I,Chêne pubescent,5,-1: planted outside October -> March,27/04/2018,289,8,2.77,630,10,63,2,0,8.679539609948383,7.5,2508.386947275083,2167.5
2025 - 2026,I,Chêne pubescent,5,,22/11/2019,9,0,0.0,0,0,0,0,0,8.679539609948383,7.5,78.11585648953545,67.5
2025 - 2026,I,Chêne vert,2,-1: planted outside November -> March,10/10/2021,35,0,0.0,0,0,0,0,0,0.03896631513742556,0.008978889869403405,1.3638210298098945,0.3142611454291192
2025 - 2026,I,Chêne vert,5,,27/11/2019 - 28/11/2019,132,0,0.0,0,0,0,0,0,8.679539609948383,2.0,1145.6992285131867,264.0
2025 - 2026,J,Chêne chevelu,3,,10/10/2021,8,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,3.97121551814396,0.397121551814396
2025 - 2026,J,Chêne chevelu,5,-1: planted outside October -> March,16/05/2018,242,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,2100.448585607509,210.04485856075087
2025 - 2026,J,Chêne chevelu,5,,22/11/2019,14,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,121.51355453927737,12.151355453927737
2025 - 2026,J,Chêne pubescent,3,,10/10/2021,11,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,5.460421337447945,0.5460421337447945
2025 - 2026,J,Chêne pubescent,5,-1: planted outside October -> March,16/05/2018 - 22/11/2018,814,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,7065.145242497984,706.5145242497985
2025 - 2026,J,Chêne pubescent,5,,22/11/2019,6,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,52.0772376596903,5.20772376596903
2025 - 2026,J,Chêne vert,2,-1: planted outside November -> March,10/10/2021,39,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,1.5196862903595967,0.1519686290359597
2025 - 2026,J,Chêne vert,5,,27/11/2019,1,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,8.679539609948383,0.8679539609948383
2025 - 2026,J,Chêne vert,6,,22/11/2018,493,1,0.2,6,1,6,0,0,18.81103507739222,1.881103507739222,9273.840293154364,927.3840293154365
2025 - 2026,K,Charme commun,2,-1: planted outside November -> March,10/10/2021,42,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,1.6365852357718735,0.16365852357718735
2025 - 2026,K,Charme commun,3,-1: planted outside November -> March,13/05/2020,87,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,43.186968759815564,4.318696875981557
2025 - 2026,K,Charme commun,5,,24/01/2020,32,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,277.74526751834827,27.774526751834827
2025 - 2026,K,Charme commun,6,,11/01/2019,413,0,0.0,0,0,0,0,0,18.81103507739222,1.881103507739222,7768.957486962987,776.8957486962987
2025 - 2026,K,Chêne pubescent,3,,10/10/2021,90,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,44.676174579119554,4.467617457911955
2025 - 2026,K,Chêne pubescent,3,-1: planted outside October -> March,13/05/2020,87,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,43.186968759815564,4.318696875981557
2025 - 2026,K,Chêne pubescent,5,,24/01/2020,48,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,416.6179012775224,41.66179012775224
