Saison,Parcelle,Espèce,Age,Pénalité,Dates plantation,Plants,Plants Productifs,Taux de Productivité (%),Poids produit (g),Nombre de truffe,Poids moyen (g),Production au plant (g),Plants Non-Productifs à Nouveau,Expected_Production,State_Space_Forecast,Total_Expected_Production,Total_State_Space_Forecast
2025 - 2026,J,Chêne vert,3,-1: planted outside November -> March,10/10/2021,33,1,3.03,23,1,23,0,0,0.496401939767995,0.0496401939767995,16.381264012343834,1.6381264012343835
2025 - 2026,J,Chêne vert,6,,27/11/2019,1,0,0.0,0,0,0,0,0,18.81103507739222,1.881103507739222,18.81103507739222,1.881103507739222
2025 - 2026,J,Chêne vert,7,,22/11/2018,487,24,4.93,678,30,22,1,1,31.642460511555242,3.1642460511555246,10000.0,1540.9878269127405
2025 - 2026,K,Charme commun,2,,01/03/2024,212,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,8.260858809134218,0.8260858809134219
2025 - 2026,K,Charme commun,3,-1: planted outside November -> March,10/10/2021,9,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,4.467617457911955,0.44676174579119554
2025 - 2026,K,Charme commun,4,-1: planted outside November -> March,13/05/2020,51,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,140.1076574117525,14.010765741175252
2025 - 2026,K,Charme commun,6,,24/01/2020,21,0,0.0,0,0,0,0,0,18.81103507739222,1.881103507739222,395.0317366252366,39.503173662523665
2025 - 2026,K,Charme commun,7,,11/01/2019,281,0,0.0,0,0,0,0,0,31.642460511555242,3.1642460511555246,8891.531403747023,889.1531403747024
2025 - 2026,K,Chêne pubescent,2,,01/03/2024,206,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,8.027060918309665,0.8027060918309665
2025 - 2026,K,Chêne pubescent,4,,10/10/2021,35,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,96.15231391002624,9.615231391002624
2025 - 2026,K,Chêne pubescent,4,-1: planted outside October -> March,13/05/2020,57,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,156.59091122489988,15.659091122489988
2025 - 2026,K,Chêne pubescent,6,,24/01/2020,39,1,2.56,28,1,28,0,0,18.81103507739222,1.881103507739222,733.6303680182965,73.36303680182965
2025 - 2026,K,Chêne pubescent,7,,11/01/2019,819,4,0.49,363,13,27,0,1,31.642460511555242,3.1642460511555246,10000.0,2591.517515896375
2025 - 2026,K,Chêne vert,2,,01/03/2024,26,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,1.0131241935730646,0.10131241935730646
2025 - 2026,K,Chêne vert,3,-1: planted outside November -> March,10/10/2021,11,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,5.460421337447945,0.5460421337447945
2025 - 2026,K,Chêne vert,4,-1: planted outside November -> March,13/05/2020,5,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,13.736044844289463,1.3736044844289463
2025 - 2026,K,Chêne vert,6,,24/01/2020,21,1,4.76,17,1,17,0,0,18.81103507739222,1.881103507739222,395.0317366252366,39.503173662523665
2025 - 2026,K,Chêne vert,7,,11/01/2019,518,15,2.9,395,17,23,0,0,31.642460511555242,3.1642460511555246,10000.0,1639.0794544985617
2025 - 2026,L,Chêne vert,2,,01/03/2024,23,1,4.35,41,1,41,1,0,0.03896631513742556,0.008285841789590128,0.8962252481607879,0.19057436116057294
2025 - 2026,L,Chêne vert,3,-1: planted outside November -> March,10/10/2021,33,0,0.0,0,0,0,0,0,0.496401939767995,0.10555547586312011,16.381264012343834,3.483330703482964
2025 - 2026,L,Chêne vert,6,,27/11/2019,10,0,0.0,0,0,0,0,0,18.81103507739222,4.0,188.1103507739222,40.0
2025 - 2026,L,Chêne vert,7,,29/11/2018,1538,104,6.76,6596,142,46,4,0,31.642460511555242,6.728488970728526,10000.0,10000.0
2025 - 2026,LP,Bouleau blanc,2,,01/03/2024,4,0,0.0,0,0,0,0,0,0.03896631513742556,0.014183964736262917,0.15586526054970223,0.05673585894505167
2025 - 2026,LP,Bouleau blanc,5,,31/03/2021,62,2,3.23,69,3,23,1,0,8.679539609948383,3.1594027641649554,538.1314558167998,195.88297137822724
2025 - 2026,LP,Charme commun,2,,01/03/2024,7,0,0.0,0,0,0,0,0,0.03896631513742556,0.028367929472525834,0.2727642059619789,0.19857550630768084
2025 - 2026,LP,Charme commun,5,,31/03/2021,83,3,3.61,176,5,35,2,0,8.679539609948383,6.318805528329911,720.4017876257159,524.4608588513826
2025 - 2026,LP,Chêne chevelu,2,,01/03/2024,1,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,0.03896631513742556,0.003896631513742556
2025 - 2026,LP,Chêne chevelu,5,,31/03/2021,49,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,425.29744088747077,42.52974408874708
2025 - 2026,LP,Chêne pubescent,5,,31/03/2021,60,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,520.772376596903,52.0772376596903
2025 - 2026,LP,Chêne pédonculé,2,,01/03/2024,25,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,0.974157878435639,0.0974157878435639
2025 - 2026,LP,Chêne pédonculé,5,,31/03/2021,35,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,303.78388634819345,30.37838863481934
2025 - 2026,LP,Chêne vert,2,,01/03/2024,2,0,0.0,0,0,0,0,0,0.03896631513742556,0.028367929472525834,0.07793263027485112,0.05673585894505167
2025 - 2026,LP,Chêne vert,5,,31/03/2021,74,2,2.7,160,5,32,2,0,8.679539609948383,6.318805528329911,642.2859311361804,467.5916090964134
2025 - 2026,LP,Noisetier de Byzance/Collurna,5,,31/03/2021,16,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,138.87263375917414,13.887263375917414
2025 - 2026,LP,Pin d'Alep,2,,01/03/2024,1,0,0.0,0,0,0,0,0,0.03896631513742556,0.07793263027485112,0.03896631513742556,0.07793263027485112
2025 - 2026,LP,Pin d'Alep,5,,31/03/2021,39,20,51.28,2509,83,30,64,0,8.679539609948383,17.359079219896767,338.50204478798696,677.0040895759739
2025 - 2026,LP,Saule blanc,5,,31/03/2021,16,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,138.87263375917414,13.887263375917414
2025 - 2026,LP,Tilleul à petites feuilles,2,,01/03/2024,2,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,0.07793263027485112,0.007793263027485112
2025 - 2026,LP,Tilleul à petites feuilles,5,,31/03/2021,88,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,763.7994856754577,76.37994856754577
