Parcelle;Espèce;Plants;Age;Age Brut;Dates de plantation;Plants Productifs;Taux de Productivité (%);Poids produit (g);Nombre de truffe;Poids moyen (g);Production au plant (g)
D1;Chêne pubescent;69;2;2;13/02/23;0;0,0;0;0;0;0,0
D1;Chêne pubescent;72;3;3;10/10/21;0;0,0;0;0;0;0,0
D1;Chêne pubescent;1261;5;5;02/03/20;6;0,48;244;6;40,67;0,19
D2;Chêne pubescent;51;1;1;01/03/24;0;0,0;0;0;0;0,0
D2;Chêne pubescent;57;2;2;13/02/23;0;0,0;0;0;0;0,0
D2;Chêne pubescent;46;3;3;10/10/21;0;0,0;0;0;0;0,0
D2;Chêne pubescent;1833;5;5;21/01/20;13;0,71;456;18;25,33;0,25
E1;Chêne pubescent;35;1;1;01/03/24;0;0,0;0;0;0;0,0
E1;Chêne pubescent;2602;3;4;21/04/20;84;3,23;4348;121;35,93;1,67
E1;Chêne pubescent;94;3;3;10/10/21;0;0,0;0;0;0;0,0
E2;Chêne pubescent;80;1;1;01/03/24;0;0,0;0;0;0;0,0
E2;Chêne pubescent;66;3;3;10/10/21;0;0,0;0;0;0;0,0
E2;Chêne pubescent;1518;5;5;04/03/20;10;0,66;659;18;36,61;0,43
E2;Charme;45;1;1;01/03/24;0;0,0;0;0;0;0,0
E2;Charme;43;2;3;10/10/21;0;0,0;0;0;0;0,0
E2;Charme;495;5;5;04/03/20;29;5,86;2372;68;34,88;4,79
F;Chêne pubescent;35;1;1;01/03/24;0;0,0;0;0;0;0,0
F;Chêne pubescent;16;3;3;10/10/21;0;0,0;0;0;0;0,0
F;Chêne pubescent;1310;5;6;11/04/18;12;0,92;866;19;45,58;0,66
F;Chêne pubescent;56;5;5;22/11/19;0;0,0;0;0;0;0,0
G;Chêne vert;29;1;1;01/03/24;0;0,0;0;0;0;0,0
G;Chêne vert;10;2;3;10/10/21;0;0,0;0;0;0;0,0
G;Chêne vert;1670;5;6;23/04/18;65;3,89;2686;95;28,27;1,61
G;Chêne vert;44;5;5;27/11/19;1;2,27;34;1;34,0;0,77
H;Chêne pubescent;305;1;1;01/03/24;0;0,0;0;0;0;0,0
H;Chêne pubescent;6;3;3;10/10/21;0;0,0;0;0;0;0,0
H;Chêne pubescent;1468;5;6;17/04/18;11;0,75;440;17;25,88;0,3
H;Chêne pubescent;22;5;5;22/11/19;0;0,0;0;0;0;0,0
H;Chêne pédonculé;65;1;1;01/03/24;0;0,0;0;0;0;0,0
H;Chêne pédonculé;1;2;3;10/10/21;0;0,0;0;0;0;0,0
H;Chêne pédonculé;7;4;5;22/11/19;0;0,0;0;0;0;0,0
H;Chêne pédonculé;417;5;6;17/04/18;5;1,2;173;7;24,71;0,41
I;Chêne pubescent;11;1;1;01/03/24;0;0,0;0;0;0;0,0
I;Chêne pubescent;2;3;3;10/10/21;0;0,0;0;0;0;0,0
I;Chêne pubescent;283;5;6;27/04/18;63;22,26;4347;134;32,44;15,36
I;Chêne pubescent;7;5;5;22/11/19;0;0,0;0;0;0;0,0
I;Charme;56;1;1;01/03/24;0;0,0;0;0;0;0,0
I;Charme;549;5;6;27/04/18;57;10,38;3493;107;32,64;6,36
I;Chêne vert;29;2;3;10/10/21;0;0,0;0;0;0;0,0
I;Chêne vert;129;5;5;27/11/19 to 28/11/19;9;6,98;346;12;28,83;2,68
I;Chêne chevelu;20;1;1;01/03/24;0;0,0;0;0;0;0,0
I;Chêne chevelu;6;3;3;10/10/21;0;0,0;0;0;0;0,0
I;Chêne chevelu;462;5;6;27/04/18;65;14,07;5273;171;30,84;11,41
I;Chêne chevelu;22;5;5;22/11/19;1;4,55;20;1;20,0;0,91
J;Chêne pubescent;34;1;1;01/03/24;0;0,0;0;0;0;0,0
J;Chêne pubescent;4;3;3;10/10/21;0;0,0;0;0;0;0,0
J;Chêne pubescent;787;5;6;16/05/18 to 22/11/18;9;1,14;420;19;22,11;0,53
J;Chêne pubescent;6;5;5;22/11/19;0;0,0;0;0;0;0,0
J;Chêne vert;12;1;1;01/03/24;0;0,0;0;0;0;0,0
J;Chêne vert;33;2;3;10/10/21;1;3,03;23;1;23,0;0,7
J;Chêne vert;1;5;5;27/11/19;0;0,0;0;0;0;0,0
J;Chêne vert;487;6;6;22/11/18;24;4,93;678;30;22,6;1,39
J;Chêne chevelu;17;1;1;01/03/24;0;0,0;0;0;0;0,0
J;Chêne chevelu;5;3;3;10/10/21;0;0,0;0;0;0;0,0
J;Chêne chevelu;229;5;6;16/05/18;8;3,49;183;10;18,3;0,8
J;Chêne chevelu;13;5;5;22/11/19;0;0,0;0;0;0;0,0
K;Chêne pubescent;206;1;1;01/03/24;0;0,0;0;0;0;0,0
K;Chêne pubescent;35;3;3;10/10/21;0;0,0;0;0;0;0,0
K;Chêne pubescent;57;3;4;13/05/20;0;0,0;0;0;0;0,0
K;Chêne pubescent;39;5;5;24/01/20;1;2,56;28;1;28,0;0,72
K;Chêne pubescent;819;6;6;11/01/19;4;0,49;363;13;27,92;0,44
K;Charme;212;1;1;01/03/24;0;0,0;0;0;0;0,0
K;Charme;9;2;3;10/10/21;0;0,0;0;0;0;0,0
K;Charme;51;3;4;13/05/20;0;0,0;0;0;0;0,0
K;Charme;21;5;5;24/01/20;0;0,0;0;0;0;0,0
K;Charme;281;6;6;11/01/19;0;0,0;0;0;0;0,0
K;Chêne vert;26;1;1;01/03/24;0;0,0;0;0;0;0,0
K;Chêne vert;11;2;3;10/10/21;0;0,0;0;0;0;0,0
K;Chêne vert;5;3;4;13/05/20;0;0,0;0;0;0;0,0
K;Chêne vert;21;5;5;24/01/20;1;4,76;17;1;17,0;0,81
K;Chêne vert;518;6;6;11/01/19;15;2,9;395;17;23,24;0,76
L;Chêne vert;23;1;1;01/03/24;1;4,35;41;1;41,0;1,78
L;Chêne vert;33;2;3;10/10/21;0;0,0;0;0;0;0,0
L;Chêne vert;10;5;5;27/11/19;0;0,0;0;0;0;0,0
L;Chêne vert;1538;6;6;29/11/18;104;6,76;6596;142;46,45;4,29
LP;Pin d'Alep;1;1;1;01/03/24;0;0,0;0;0;0;0,0
LP;Pin d'Alep;39;4;4;31/03/21;20;51,28;2509;83;30,23;64,33
LP;Chêne pubescent;60;4;4;31/03/21;0;0,0;0;0;0;0,0
LP;Chêne pédonculé;25;1;1;01/03/24;0;0,0;0;0;0;0,0
LP;Chêne pédonculé;35;4;4;31/03/21;0;0,0;0;0;0;0,0
LP;Charme;7;1;1;01/03/24;0;0,0;0;0;0;0,0
LP;Charme;83;4;4;31/03/21;3;3,61;176;5;35,2;2,12
LP;Chêne vert;2;1;1;01/03/24;0;0,0;0;0;0;0,0
LP;Chêne vert;74;4;4;31/03/21;2;2,7;160;5;32,0;2,16
LP;Tilleul;2;1;1;01/03/24;0;0,0;0;0;0;0,0
LP;Tilleul;88;4;4;31/03/21;0;0,0;0;0;0;0,0
LP;Bouleau blanc;4;1;1;01/03/24;0;0,0;0;0;0;0,0
LP;Bouleau blanc;62;4;4;31/03/21;2;3,23;69;3;23,0;1,11
LP;Chêne chevelu;1;1;1;01/03/24;0;0,0;0;0;0;0,0
LP;Chêne chevelu;49;4;4;31/03/21;0;0,0;0;0;0;0,0
LP;Noisetier collurna;16;4;4;31/03/21;0;0,0;0;0;0;0,0
LP;Saule;16;4;4;31/03/21;0;0,0;0;0;0;0,0
