Parcelle;Espèce;Plants;Age;Age Brut;Dates de plantation;Plants Productifs;Taux de Productivité (%);Poids produit (g);Nombre de truffe;Poids moyen (g);Production au plant (g)
A1;Chêne pubescent;69;1;1;01/03/24;1;1,45;157;4;39,25;2,28
A1;Chêne pubescent;165;3;4;12/05/20;1;0,61;44;1;44,0;0,27
A1;Chêne pubescent;53;3;3;10/10/21;0;0,0;0;0;0;0,0
A1;Chêne pubescent;511;6;6;12/03/19;7;1,37;303;9;33,67;0,59
A2;Chêne pubescent;25;1;1;01/03/24;1;4,0;31;1;31,0;1,24
A2;Chêne pubescent;401;3;4;05/05/20;10;2,49;828;22;37,64;2,06
A2;Chêne pubescent;4;3;3;10/10/21;0;0,0;0;0;0;0,0
A2;Chêne vert;18;1;1;01/03/24;0;0,0;0;0;0;0,0
A2;Chêne vert;7;2;3;10/10/21;0;0,0;0;0;0;0,0
A2;Chêne vert;472;3;4;05/05/20;46;9,75;2942;78;37,72;6,23
B1;Chêne pubescent;220;1;1;01/03/24;3;1,36;128;4;32,0;0,58
B1;Chêne pubescent;189;3;4;04/05/20;3;1,59;169;5;33,8;0,89
B1;Chêne pubescent;95;3;3;10/10/21;0;0,0;0;0;0;0,0
B1;Chêne pubescent;1195;6;6;20/02/19;112;9,37;6396;190;33,66;5,35
B2;Chêne pubescent;76;1;1;01/03/24;1;1,32;57;2;28,5;0,75
B2;Chêne pubescent;108;3;4;05/05/20;1;0,93;17;1;17,0;0,16
B2;Chêne pubescent;52;3;3;10/10/21;0;0,0;0;0;0;0,0
B2;Chêne pubescent;927;6;6;06/03/19;78;8,41;3556;110;32,33;3,84
C;Chêne pubescent;53;1;1;01/03/24;0;0,0;0;0;0;0,0
C;Chêne pubescent;83;3;3;10/10/21;0;0,0;0;0;0;0,0
C;Chêne pubescent;1839;5;5;24/01/20;41;2,23;1498;56;26,75;0,81
D1;Chêne pubescent;75;1;1;01/03/24;0;0,0;0;0;0;0,0
